Loading existing Q-table from q_table.npy
Loaded Q-table shape: (36, 5)
Warning: Shape mismatch! Expected (288, 5)
Initializing new Q-table with zeros
Q-table shape: (288, 5)
Starting training...
current distance: 48.20020037275305
current distance: 47.90867013440598
current distance: 47.78800974331494
current distance: 48.30411710460308
current distance: 48.70733192640281
current distance: 48.2886747630363
current distance: 49.72667507885022
current distance: 50.817441638687505
current distance: 50.6866412277117
current distance: 50.11573501376387
current distance: 49.442448663604935
current distance: 49.692007929094
current distance: 50.834869180306235
current distance: 50.325823203175894
current distance: 50.34756230673742
current distance: 50.22393246290042
current distance: 50.308989538822075
current distance: 49.69217742835965
current distance: 49.43470728844957
current distance: 49.90181247700561
current distance: 49.47145434850526
current distance: 49.34244926111784
current distance: 50.99035599130102
current distance: 50.27451732194327
current distance: 50.12847557752973
current distance: 50.04937114407789
current distance: 50.07442534991913
current distance: 50.63514924189644
current distance: 51.06207769432188
current distance: 50.74336763634858
current distance: 50.59622498544648
current distance: 51.21850107678675
current distance: 50.98593152439853
current distance: 50.789016395714256
current distance: 51.45359100112728
current distance: 51.17371210146018
current distance: 52.72612091632957
current distance: 52.754955394749715
current distance: 52.918240933248406
current distance: 52.479878907202924
current distance: 52.31766861024689
current distance: 52.29615527490679
current distance: 52.24826263693277
current distance: 51.99997405071621
current distance: 52.097257776589714
current distance: 51.79982425659266
current distance: 51.7845823415569
current distance: 51.90775870493759
current distance: 51.76162341152791
current distance: 51.872446750840666
current distance: 51.98927869901467
current distance: 52.531488513199776
current distance: 52.52917055901927
current distance: 52.576345920486176
current distance: 52.81369092724816
current distance: 53.2744308394876
current distance: 53.24760317007602
current distance: 53.313580899999316
current distance: 53.58769772253797
current distance: 53.799204930800244
current distance: 55.17278520997849
current distance: 56.11473001457891
current distance: 54.92518503347573
current distance: 55.10406781418015
current distance: 54.68860422852608
current distance: 54.69355668564982
current distance: 55.09711171819207
current distance: 54.948054801807814
current distance: 54.977991504657545
current distance: 55.09549052758405
current distance: 55.29208566727399
current distance: 55.4875776409919
current distance: 55.69217316438434
current distance: 56.98442732883741
current distance: 57.784227273439654
current distance: 56.5385191020001
current distance: 55.90989715974511
current distance: 55.7378883324256
current distance: 55.71583403384301
current distance: 55.74273168161951
current distance: 55.81438240569081
current distance: 55.81826252270549
current distance: 55.88214436965389
current distance: 56.00695519027009
current distance: 56.106391754712526
current distance: 56.27743336127613
current distance: 56.58126201146819
current distance: 56.56366497512852
current distance: 56.85141864248055
current distance: 56.80642017473876
current distance: 56.783567943892855
current distance: 56.90196047465268
current distance: 58.068900515919154
current distance: 57.15764118193954
current distance: 57.070432049854006
current distance: 57.157401442247235
current distance: 57.35355893635526
current distance: 57.48024609967532
current distance: 57.41310679445987
current distance: 57.46162144835759
current distance: 57.534071566702124
current distance: 57.46657229185235
current distance: 57.496111934874484
current distance: 57.56620420399024
current distance: 57.700642989866836
current distance: 57.786551499138206
current distance: 57.83919601215504
current distance: 58.05836562704274
current distance: 57.95208593162341
current distance: 57.953949745186904
current distance: 57.80872360322141
current distance: 57.89971772259487
current distance: 58.005660402325965
current distance: 58.085625393089934
current distance: 59.457368594348516
current distance: 58.6026746511626
current distance: 58.31126721670256
current distance: 58.33206771995039
current distance: 58.44132820714028
current distance: 58.47759694359708
current distance: 58.61727448692822
current distance: 59.935777283207145
current distance: 59.65466826956251
current distance: 59.5156714985304
current distance: 59.02194909686767
current distance: 60.09193882649738
current distance: 58.95984464549639
current distance: 58.969711381858005
current distance: 58.62748049813405
current distance: 58.695588919055865
current distance: 58.73473416855698
